Date,T_Avg,RH,RR,,,,,,,,
2016-01-01,27.9510627,82.13165673,7.162325762,,,,,,,,
2016-02-01,27.63615823,83.11636009,8.207857143,,,,,,,,
2016-03-01,28.22119033,81.19001819,6.000423453,,,,,,,,
2016-04-01,28.14911111,81.95111111,8.792432463,,,,,,,,
2016-05-01,28.14098037,83.48960132,7.696626894,,,,,,,,
2016-06-01,27.23885218,84.1385413,10.32337458,,,,,,,,
2016-07-01,27.03002678,82.27847472,6.584949629,,,,,,,,
2016-08-01,27.58897062,77.47709605,3.436237227,,,,,,,,
2016-09-01,27.74390367,79.02504652,5.711055421,,,,,,,,
2016-10-01,27.58399152,82.77249598,11.23622153,,,,,,,,
2016-11-01,28.09874992,82.70626254,7.409968254,,,,,,,,
2016-12-01,27.46769408,83.27770202,11.69502113,,,,,,,,
2017-01-01,27.07617036,83.8914842,11.48907806,,,,,,,,
2017-02-01,27.15346257,83.61874903,9.873373694,,,,,,,,
2017-03-01,27.15142246,83.83313421,8.931626014,,,,,,,,
2017-04-01,27.43360171,81.83663782,6.519707903,,,,,,,,
2017-05-01,27.42998988,83.41476442,12.03477666,,,,,,,,
2017-06-01,26.52600276,84.75934097,11.62129435,,,,,,,,
2017-07-01,26.72146769,82.49109987,6.780268116,,,,,,,,
2017-08-01,26.97796199,78.83036761,4.492063492,,,,,,,,
2017-09-01,27.38081144,78.95846395,4.366686758,,,,,,,,
2017-10-01,27.90153568,80.08220716,7.647780078,,,,,,,,
2017-11-01,27.6975324,82.2334843,9.333187968,,,,,,,,
2017-12-01,27.70001006,82.01427341,11.27679779,,,,,,,,
2018-01-01,27.06181715,83.04234511,11.45938035,,,,,,,,
2018-02-01,26.96138943,83.46590625,12.10661905,,,,,,,,
2018-03-01,26.99531063,83.09402628,11.61803885,,,,,,,,
2018-04-01,27.33819841,82.85603175,6.640161817,,,,,,,,
2018-05-01,27.78000556,82.19818317,5.61465622,,,,,,,,
2018-06-01,27.05898467,82.22643678,7.349776374,,,,,,,,
2018-07-01,27.07440412,79.24103943,5.50413061,,,,,,,,
2018-08-01,27.44030303,74.79762138,1.649718801,,,,,,,,
2018-09-01,27.51525117,72.42014456,2.120737241,,,,,,,,
2018-10-01,27.8769118,76.82387774,3.651970899,,,,,,,,
2018-11-01,27.83630043,81.13891211,7.430139976,,,,,,,,
2018-12-01,27.52861306,82.56538102,11.85290145,,,,,,,,
2019-01-01,27.00335705,84.23210601,11.47475734,,,,,,,,
2019-02-01,27.09082816,82.0860352,7.290526419,,,,,,,,
2019-03-01,27.33577778,81.39602151,5.49971817,,,,,,,,
2019-04-01,27.51856748,83.40061728,9.146669274,,,,,,,,
2019-05-01,27.86888889,82.57573477,4.40477923,,,,,,,,
2019-06-01,27.13283763,83.34739059,5.879757699,,,,,,,,
2019-07-01,26.67819764,78.72022529,2.320886863,,,,,,,,
2019-08-01,27.20620072,72.51997212,0.158228032,,,,,,,,
2019-09-01,27.5285876,70.32957158,0.235016244,,,,,,,,
2019-10-01,28.05904379,75.19392173,3.867842617,,,,,,,,
2019-11-01,28.46932201,76.25662169,2.099840872,,,,,,,,
2019-12-01,28.11127055,80.86068471,4.024356873,,,,,,,,
2020-01-01,27.65344519,81.90271338,8.455721437,,,,,,,,
2020-02-01,27.49917333,82.31544413,9.716138543,,,,,,,,
2020-03-01,27.55265835,83.31534206,7.523578243,,,,,,,,
2020-04-01,27.58154321,83.29118166,7.316963684,,,,,,,,
2020-05-01,28.11424552,83.1262963,4.474889196,,,,,,,,
2020-06-01,26.94536586,85.37503673,7.680169753,,,,,,,,
2020-07-01,26.7862938,83.67452262,6.185489142,,,,,,,,
2020-08-01,27.26331679,78.70843672,2.545177511,,,,,,,,
2020-09-01,27.33441877,81.63433707,6.60158811,,,,,,,,
2020-10-01,27.76898392,80.15494156,6.083601533,,,,,,,,
2020-11-01,27.80106322,82.04118774,5.719968985,,,,,,,,
2020-12-01,27.30016548,83.64328678,10.37083701,,,,,,,,
